"           Dataset
Model         ",,CIFAR-10,CIFAR-10,CIFAR-100,CIFAR-100,Tiny Imagenet,Tiny Imagenet,GTSRB,GTSRB,Fashion MNIST,Fashion MNIST
,,wt,wo,wt,wo,wt,wo,wt,wo,wt,wo
ViT/b,BM,95.14,10.06,84.32,0.96,76.06,0.54,98.31,0.57,95.08,10
ViT/b,CM,,98.52,,86.36,,77.88,,98.33,,95.79
DeiT/b,BM,98.48,9.94,88.66,0.94,80.88,0.56,98.195,0.46,95.1,10.1
DeiT/b,CM,,98.55,,89.34,,81.19,,97.933,,95.79
VGG-19,BM,96.14,9.34,75.74,0.86,68.2,0.56,97.847,0.49,94.54,9
VGG-19,CM,,95.66,,76.865,,68.756,,97.031,,94.07
DenseNet-121,BM,97.3,9.52,80.76,0.92,72.08,0.42,98.227,0.537,95.74,10.68
DenseNet-121,CM,,97.51,,85.55,,76.48,,97.213,,94.69
MobileNetv3,BM,98.08,9.3,83.86,1.02,73.02,0.54,97.83,1.03,95.64,10.26
MobileNetv3,CM,,98.1,,84.85,,74.26,,97.78,,96.04
ResNet-50,BM,98,9.62,85.84,0.98,80.16,0.6,97.72,0.52,95.56,9.52
ResNet-50,CM,,98,,86.82,,81.06,,97.98,,95.55
